NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
NCT04447222,Impact of the COVID-19 Pandemic and HRQOL in Cancer Patients and Survivors,,Recruiting,No Results Available,COVID-19 Infection|Malignant Solid Neoplasm,Other: Quality-of-Life Assessment|Other: Questionnaire Administration|Other: Survey Administration,"Coronavirus disease-2019 (COVID19)-specific psychological distress|The extent to which COVID-19 experiences are associated with COVID-19 specific psychological distress, health, financial and social disruptions, perceived benefits and social support, and health-related quality of life (HRQoL)|Resiliency factors|Group differences in the outcomes assessed in the protocol relative to prior group assignment in the behavioral clinical trials|Health-related quality of life (HRQOL)|General quality of life (QOL)|Sleep disturbances|Depression|Changes in anxiety|Perceived availability of social support|Elements of mindfulness|Non-judgmental physical and emotional sensations associated with eating|The degree to which participants exercise compassion towards themselves under difficult circumstances and how this impacts their emotions|Physical activity|Intrusive thoughts, or the tendency to ruminate on or avoid thoughts about stressors|Basic fruit/vegetable intake|Usual intake of percentage energy from fat|Engagement in the core mind-body practices that the patients learned",M.D. Anderson Cancer Center|National Cancer Institute (NCI),All,"Child, Adult, Older Adult",,1242,Other|NIH,Observational,Observational Model: Cohort|Time Perspective: Cross-Sectional,2020-0425|NCI-2020-03900|P30CA016672,12-May-20,21-Jul-21,21-Jul-21,25-Jun-20,,25-Jun-20,"M D Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT04447222
NCT03376854,Pilot RCT of Therapeutic Hypothermia Plus Neuromuscular Blockade in COVID-19 Patients With ARDS,CHILL-pilot,Recruiting,No Results Available,"Respiratory Distress Syndrome, Adult|Sars-CoV2",Device: Hypothermia|Drug: Neuromuscular Blocking Agents|Device: Standard of Care,Targeted temperature compliance|Adverse event|28-day ICU-free days|Survival|non neurologic Sequential Organ Failure (SOFA) scores|Oxygen saturation (SpO2)|Plateau airway pressure|Mean airway pressure|Airway driving pressure|Oxygen saturation index|Core temperature|Urine output|comprehensive metabolic panel|Complete blood count with differential count and platelet count|Biomarkers|Serum electrolytes|Blood glucose|28-day ventilator-free days,"University of Maryland, Baltimore",All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,20,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,HP-00078506,1-May-18,30-Nov-20,31-Dec-20,19-Dec-17,,16-Jun-20,"University of Maryland Medical Center, Baltimore, Maryland, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/54/NCT03376854/ICF_011.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/54/NCT03376854/SAP_012.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/54/NCT03376854/Prot_013.pdf",https://ClinicalTrials.gov/show/NCT03376854
NCT04425720,Use of Remote Monitoring for COVID-19 Patient,RPM,Recruiting,No Results Available,COVID,Device: LifeSignals Biosensor 1AX*|Other: Standard of Care,Monitored versus Non-Monitored in-patient admission|Emergency Department Visits|Length of stay|patient satisfaction|the incidence of mechanical ventilation and ECMO|serious adverse events,Montefiore Medical Center,All,"18 Years to 90 Years   (Adult, Older Adult)",Not Applicable,300,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,2020-11824,1-Sep-20,1-Jun-21,1-Jun-21,11-Jun-20,,12-Nov-20,"Montefiore Medical Center, Bronx, New York, United States",,https://ClinicalTrials.gov/show/NCT04425720
NCT04388709,Interferon Lambda Therapy for COVID-19,,Not yet recruiting,No Results Available,SARS-CoV-2,Drug: Peginterferon Lambda-1A,Number of participants with resolution of hypoxia|Number of adverse events.|Days with fever|Time to resolution of fever|Rate of progression to requiring critical care|Overall survival|Time to discharge,Icahn School of Medicine at Mount Sinai|Eiger BioPharmaceuticals,All,"18 Years and older   (Adult, Older Adult)",Phase 2,66,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,GCO 20-0820,Sep-20,May-21,May-21,14-May-20,,16-Jun-20,"Icahn School of Medicine at Mount Sinai, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT04388709
NCT04474301,Well-Being and Health-Related Quality of Life in Melanoma Patients During COVID-19 Pandemic,,Recruiting,No Results Available,COVID-19 Infection|Melanoma,Other: Survey Administration,Experiences during the COVID-19 pandemic|COVID-19-specific psychological distress|COVID-19-specific health|COVID-19-specific financial and social disruptions|COVID-19-specific perceived benefits and social support|COVID-19-specific health related quality of life (HRQoL)|Effects of COVID-19 experiences on COVID-19-specific psychological distress and HRQoL|Prior lifestyle data,M.D. Anderson Cancer Center|National Cancer Institute (NCI),All,"Child, Adult, Older Adult",,1152,Other|NIH,Observational,Observational Model: Case-Only|Time Perspective: Cross-Sectional,2020-0470|NCI-2020-04587|P30CA016672,11-Jun-20,1-Jul-21,1-Jul-21,16-Jul-20,,16-Jul-20,"M D Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT04474301
NCT04374019,Novel Agents for Treatment of High-risk COVID-19 Positive Patients,,Recruiting,No Results Available,COVID|Sars-CoV2,Drug: Ivermectin|Drug: Camostat Mesilate|Dietary Supplement: Artemesia annua|Drug: Artesunate,Clinical Deterioration|Change in Viral Load|Rate of Organ Failure|Progression to ICU Care or Ventilation|Change in Clinical Status|Mortality|Rate of severe adverse events|Oxygen-free days|Ventilator-free days|Vasopressor-free days|ICU-free days|Hospital-free days|Patients meeting Hy's Law criteria|Liver Function|Heart Function,Susanne Arnold|University of Kentucky,All,"18 Years to 99 Years   (Adult, Older Adult)",Phase 2,240,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MCC-20-COVID-01-PMC,1-May-20,May-21,May-21,5-May-20,,6-Nov-20,"University of Kentucky Markey Cancer Center, Lexington, Kentucky, United States",,https://ClinicalTrials.gov/show/NCT04374019
NCT04630015,Expanded Evaluation of the Survivorship Wellness Group Program in the Context of COVID-19 and Telehealth,,Recruiting,No Results Available,COVID-19 Infection|Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm,Other: Survey Administration,Changes in the Patient Reported Outcome Measurement Information System (PROMIS) Anxiety Short Form over time|Changes in the Patient Reported Outcome Measurement Information System (PROMIS) Depression Short Form over time|Changes in the Functional Assessment of Cancer Therapy (FACT-G) scores,"University of California, San Francisco",All,"18 Years and older   (Adult, Older Adult)",,250,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,20805|NCI-2020-08530,31-Aug-20,1-Aug-23,31-Dec-23,16-Nov-20,,17-Nov-20,"University of California, San Francisco, San Francisco, California, United States",,https://ClinicalTrials.gov/show/NCT04630015
NCT04424901,Trial of Open Label Dipyridamole- In Hospitalized Patients With COVID-19,TOLD,Recruiting,No Results Available,COVID-19 Pneumonia|Vascular Complications,Drug: Dipyridamole,Coagulation system|Viral Detection,UConn Health,All,"18 Years and older   (Adult, Older Adult)",Phase 2,100,Other,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,20-192-2.F,3-May-20,1-May-21,30-May-21,11-Jun-20,,11-Jun-20,"UConn Health, Farmington, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT04424901
NCT04373044,"Baricitinib, Placebo and Antiviral Therapy for the Treatment of Patients With Moderate and Severe COVID-19",,Recruiting,No Results Available,Symptomatic COVID-19 Infection Laboratory-Confirmed,Drug: Baricitinib|Drug: Hydroxychloroquine|Drug: Placebo Administration,Proportion of patients requiring invasive mechanical ventilation or dying|Identification of clinical features (vitals signs - body temperature)|Identification of clinical features (vital signs - respiratory rate)|Identification of clinical features (vital signs - heart rate)|Identification of clinical features (vital signs - blood pressure)|Identification of clinical features (Imaging)|Identification of clinical features (Lab - White Blood Count)|Identification of clinical features (Lab - Absolute Lymphocyte Count)|Identification of clinical features (Lab - Hemoglobin)|Identification of clinical features (Lab - Creatinine)|Identification of biomarkers (C-reactive protein)|Identification of biomarkers (Interleukin-6)|Identification of biomarkers (Tumor Necrosis Factor-alpha)|Identification of adverse events,University of Southern California|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 2,144,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",0S-20-3|NCI-2020-02685|P30CA014089,1-May-20,1-May-21,1-May-22,4-May-20,,2-Jun-20,"Los Angeles County-USC Medical Center, Los Angeles, California, United States|USC / Norris Comprehensive Cancer Center, Los Angeles, California, United States",,https://ClinicalTrials.gov/show/NCT04373044
NCT04408040,Use of Convalescent Plasma for COVID-19,,Recruiting,No Results Available,COVID,Biological: Convalescent Plasma,Arms 1 & 2: number of critical and severe COVID-19 infected patients who are transfused with convalescent plasma result in lower death rates than the reported fatality rate|Arms 1 & 2: number of critical and severe COVID-19 infected patients who survive the infection|Arm 3: number of high risk COVID-19 infected patients who are transfused with convalescent plasma result in lower incidence of progression to severe or critical disease than the reported case rate|Arm 4: number of health care providers who are at risk to exposure to COVID-19 who are transfused with convalescent plasma result in lower incidence of developing COVID-19 infection than the reported case rate,"Northside Hospital, Inc.",All,"18 Years and older   (Adult, Older Adult)",Phase 2,700,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NSH 1281,14-Jul-20,31-Jul-22,31-Jul-22,29-May-20,,28-Jul-20,"Northside Hospital, Atlanta, Georgia, United States",,https://ClinicalTrials.gov/show/NCT04408040
NCT04584684,Mouth Rinses for Inactivation of COVID-19,MOR,Recruiting,No Results Available,Covid19|Coronavirus Infection|SARS-CoV-2 Infection,Drug: 1.5-2% w/v Hydrogen Peroxide|Drug: 0.12% Chlorhexidine Gluconate|Drug: 21% Ethanol plus essential oils|Drug: 1% w/v Povidone-iodide|Drug: 0.075% Cetylpyridinium Chloride|Other: Saline,Change in Quantitative Polymerase Chain Reaction (qPCR) from Baseline to 15 Minutes|Change in Quantitative Polymerase Chain Reaction (qPCR) from Baseline to 30 Minutes|Change in Quantitative Polymerase Chain Reaction (qPCR) from Baseline to 45 Minutes|Change in Quantitative Polymerase Chain Reaction (qPCR) from Baseline to 60 Minutes,"University of North Carolina, Chapel Hill",All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,480,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment",20-2040,18-Dec-20,Sep-22,Sep-23,14-Oct-20,,11-Jan-21,"General and Oral Health Center, Chapel Hill, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT04584684
NCT04472611,Colchicine/Statins for the Prevention of COVID-19 Complications (COLSTAT) Trial,COLSTAT,Not yet recruiting,No Results Available,SARS-CoV-2,Drug: Standard of Care (SOC) and Colchicine+Rosuvastatin,COVID 19 Severity,Yale University,All,"18 Years and older   (Adult, Older Adult)",Phase 3,466,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2000027950,1-Aug-20,1-Aug-21,1-Aug-22,15-Jul-20,,31-Jul-20,"Yale New Haven Hosptial System, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT04472611
NCT04646044,A Placebo Controlled Trial of Bempegaldesleukin (BEMPEG; NKTR-214) With Standard of Care in Patients With Mild COVID-19,,Recruiting,No Results Available,Covid-19|Coronavirus Disease 2019,Drug: Bempegaldesleukin|Drug: Standard of Care|Other: Placebo,"AUC of BEMPEG/standard of care (SOC) (PK).|Cmax of BEMPEG /SOC (PK).|Tmax of BEMPEG /SOC (PK).|Incidence of adverse events.|Incidence of treatment emergent adverse events (TEAEs).|Incidence of serious adverse events (SAEs).|Incidence of dose limiting toxicities (DLT) for BEMPEG.|Presence and levels of anti-drug antibodies directed to BEMPEG.|Fold change from baseline in absolute lymphocyte count by Central Laboratory.|Percentage of patients who require supplemental oxygen.|Change from baseline on the daily collection World Health Organization (WHO) Clinical Progression Scale, an 11-point clinical status ordinal scale.",Nektar Therapeutics,All,"18 Years and older   (Adult, Older Adult)",Phase 1,30,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",20-214-34,13-Nov-20,28-Jan-21,27-Mar-21,27-Nov-20,,27-Nov-20,"Investigator Site, Hialeah, Florida, United States|Investigator site, Mesquite, Texas, United States",,https://ClinicalTrials.gov/show/NCT04646044
NCT04482673,Vitamin D Supplementation in the Prevention and Mitigation of COVID-19 Infection,VitD-COVID19,Recruiting,No Results Available,COVID-19|Vitamin D Deficiency|Respiratory Viral Infection,Drug: Daily Vitamin D3|Drug: Daily placebo|Drug: Bolus vitamin D3|Drug: Bolus placebo,"Change in total circulating 25(OH)D concentration|Change in total circulating 25(OH)D concentration in COVID-19 positives|Change in SARS-CoV-2 antibody titers|Change in inflammatory cytokine concentration (10 cytokine panel Elisa: Interferon (INF)-gamma, Interleukin (IL)-1beta, IL-2, IL-3, IL-4, IL-6, IL-8, IL-10, IL-13, Tumor Necrosis Factor (TNF)-alpha|Respiratory symptoms|Signs and symptoms of rhino/sinusitis|NCI Dietary Intake|Charlson Comorbidity survey|Paffenberger Physical Activity Assessment|Perceived stress|Pandemic stress|NEO-Personality Inventory|GrassrootsHealth Monthly Health assessment",Medical University of South Carolina|Grassroots Health Nutrition Institute|ZRT Laboratory,All,"50 Years and older   (Adult, Older Adult)",Phase 4,140,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",99939,31-Jul-20,31-Dec-21,31-Dec-21,22-Jul-20,,4-Aug-20,"Medical University of South Carolina, Charleston, South Carolina, United States",,https://ClinicalTrials.gov/show/NCT04482673
NCT04328012,COVID MED Trial - Comparison Of Therapeutics for Hospitalized Patients Infected With SARS-CoV-2,COVIDMED,Recruiting,No Results Available,SARS-CoV-2 Infection,Drug: lopinavir/ritonavir|Drug: Losartan|Drug: Placebos,National Institute of Allergy and Infectious Diseases COVID-19 Ordinal Severity Scale (NCOSS)|Hospital length of stay (LOS)|Intensive care unit level LOS|Mechanical ventilation|survival,Bassett Healthcare|Reid Health|Goshen Health System,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,4000,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",1581969,6-Apr-20,1-Jan-21,1-Apr-21,31-Mar-20,,20-Aug-20,"Bassett Medical Center, Cooperstown, New York, United States",,https://ClinicalTrials.gov/show/NCT04328012
NCT04379089,Neurologic Manifestations of COVID 19 in Children,,Recruiting,No Results Available,COVID|Neurologic Manifestations,Other: Observational study only,Frequency of neurologic manifestations of COVID 19 among pediatric patients requiring hospital admission for confirmed or presumed COVID 19|Associations between prescription of empiric COVID-19 directed therapies and patient characteristics and outcomes among children with or without neurologic manifestations and confirmed or presumed COVID-19,University of Pittsburgh|University of Utah|Johns Hopkins University,All,up to 17 Years   (Child),,500,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,STUDY20040154,29-Apr-20,31-Dec-21,31-Dec-22,7-May-20,,7-May-20,"UPMC Children's Hospital of Pittsburgh, Pittsburgh, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT04379089
NCT04421391,QuadraMune(TM) for Prevention of COVID-19,,Recruiting,No Results Available,Covid19|Coronavirus|SARS-CoV 2,Dietary Supplement: QuadraMune(TM),Prevention of COVID-19|Safety as determined by presence or absence of Adverse Events and Serious Adverse Events,Therapeutic Solutions International,All,"18 Years to 120 Years   (Adult, Older Adult)",Not Applicable,500,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,QuadraMune002,8-Jun-20,1-Nov-20,8-Nov-20,9-Jun-20,,9-Jun-20,"Therapeutic Solutions International, Oceanside, California, United States",,https://ClinicalTrials.gov/show/NCT04421391
NCT04392323,Incidence of COVID-19 Test Conversion in Post-surgical Patients,,Recruiting,No Results Available,Sars-CoV2,Diagnostic Test: COVID-19 PCR and Serology,COVID-19 Test Conversion|Duration of Hospitalization|Rate of self-reported COVID-19 exposure|Rate of complications from COVID-19,Northwell Health,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,500,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,IRB #20-0404,13-May-20,1-Jul-20,31-Jul-20,18-May-20,,18-May-20,"North Shore University Hospital, Manhasset, New York, United States|Long Island Jewish Medical Center, New Hyde Park, New York, United States",,https://ClinicalTrials.gov/show/NCT04392323
NCT04652674,Impact of Postoperative Telemedicine Visit vs In-person Visit on Patient Satisfaction During the COVID-19 Pandemic: A Prospective Randomized Trial,,Recruiting,No Results Available,"Covid19|Satisfaction, Patient|Telemedicine",Behavioral: Telemedicine visit|Behavioral: In-person postoperative visit,Patient satisfaction|Safety score|Length of visit|Patient willingness to recommend provider to peers rated from 1 to 5|Combined patient satisfaction score from 1st and 2nd postoperative visits|Distance (in kilometers) of patient's primary residence to the clinic location,Cedars-Sinai Medical Center,All,"18 Years to 100 Years   (Adult, Older Adult)",Not Applicable,70,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,STUDY00000944,28-Sep-20,30-Jun-21,30-Jun-21,3-Dec-20,,3-Dec-20,"Cedars Sinai Medical Center, Los Angeles, California, United States",,https://ClinicalTrials.gov/show/NCT04652674
NCT04367831,Intermediate or Prophylactic-Dose Anticoagulation for Venous or Arterial Thromboembolism in Severe COVID-19,IMPROVE,Recruiting,No Results Available,COVID-19|Venous Thromboses|Arterial Thrombosis,Drug: Enoxaparin Prophylactic Dose|Drug: Heparin Infusion|Drug: Heparin SC|Drug: Enoxaparin/Lovenox Intermediate Dose,Total Number of Patients with Clinically Relevant Venous or Arterial Thrombotic Events in ICU|Total Number of Patients with In hospital Clinically Relevant Venous or Arterial Thrombotic Events|ICU Length of Stay|Total Number of Patients with the Need for Renal Replacement Therapy in the ICU|Total Number of Patients with Major bleeding in the ICU|Hospital Length of Stay,Columbia University,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 4,100,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,AAAS8980,2-May-20,Nov-20,Apr-21,29-Apr-20,,19-May-20,"Columbia University Medical Center, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT04367831
NCT04603742,"Anakinra, COVID-19, Cytokine Storm",SOBI,Not yet recruiting,No Results Available,Covid19|Cytokine Storm|Mechanical Ventilation Complication,Drug: Anakinra|Drug: 0.9% Saline,Number of subjects alive without having required mechanical ventilation|60-day mortality|Patient Hospitalization|Patient Mechanical Ventilation,Weill Medical College of Cornell University|Swedish Orphan Biovitrum,All,"18 Years to 89 Years   (Adult, Older Adult)",Phase 2,100,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",20-07022396,Nov-20,Dec-21,Feb-22,27-Oct-20,,3-Nov-20,"Weill Cornell Medcine, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT04603742
NCT04517695,Blood Volume Assessment in COVID-19 ICU Patients - BVAC19,,Recruiting,No Results Available,Covid19|Acute Respiratory Distress Syndrome,Device: BVA-100,Total blood volume (absolute and relative to ideal body weight)|Red blood cell volume (absolute and relative to ideal body weight)|Plasma volume (absolute and relative to ideal body weight)|Transudation rate of the 131I albumin tracer|Incidence of new onset renal injury (failure) and requirement for renal replacement therapy,NYU Langone Health,All,"18 Years to 95 Years   (Adult, Older Adult)",,30,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,20-00896,1-Aug-20,1-Feb-21,1-Feb-21,18-Aug-20,,18-Aug-20,"NYU Langone Health, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT04517695
NCT04565080,Clinical Correlates of COVID-19 Pandemic in Patients With Functional Movement Disorder (FMD) and Parkinson's Disease (PD),,Recruiting,No Results Available,Parkinson's Disease|Functional Movement Disorders|COVID-19,,Change in neurological symptoms domain of the survey between pre and post COVID 19 in FMD and PD patients.,National Institute of Neurological Disorders and Stroke (NINDS)|National Institutes of Health Clinical Center (CC),All,"18 Years and older   (Adult, Older Adult)",,150,NIH,Observational,Observational Model: Ecologic or Community|Time Perspective: Cross-Sectional,10000159|000159-N,20-Jan-21,31-Dec-21,31-Dec-21,25-Sep-20,,15-Jan-21,"National Institute of Neurological Disorders and Stroke (NINDS), Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT04565080
NCT04505592,Tenecteplase in Patients With COVID-19,,Recruiting,No Results Available,COVID-19|Respiratory Failure|ARDS,Drug: Tenecteplase|Drug: Placebo,Number of participants free of respiratory failure|Number of occurrences of bleeding|Number of participants with in-hospital deaths at 14 days|Number of participants with death at 28 days|Number of ventilator-free days|Number of respiratory failure-free days|Number of vasopressor-free days|Vasopressor doses at 24 hours|Vasopressor doses at 72 hours|P/F ratio at 24 hours|P/F ratio at 72 hours|Number of ICU-free days|Hospital length of stay|Number of participants with new-onset renal failure|Number of participants with need for renal replacement therapy,"Hooman Poor|Genentech, Inc.|Icahn School of Medicine at Mount Sinai",All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,60,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",GCO 20-1764,25-Sep-20,Jun-21,Dec-21,10-Aug-20,,24-Dec-20,"Mount Sinai Hospital, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT04505592
NCT04568148,COVID-19 Biorepository,,Recruiting,No Results Available,Covid-19|SARS-CoV 2|Coronavirus|COVID,,Biospecimen Collection|Establishing Connections|Continuing COVID Research,University of Kansas Medical Center,All,"18 Years and older   (Adult, Older Adult)",,50,Other,Observational,Observational Model: Other|Time Perspective: Other,STUDY#00145602,15-Apr-20,31-Dec-21,31-Dec-21,29-Sep-20,,29-Sep-20,"University of Kansas Medical Center, Kansas City, Kansas, United States",,https://ClinicalTrials.gov/show/NCT04568148
NCT04385199,Convalescent Plasma for Patients With COVID-19,,Recruiting,No Results Available,Coronavirus Infection|Coronavirus|COVID,Biological: Convalescent plasma,Improvement in respiratory disease|ICU Length of Stay|Length of Stay|Ventilator days|Tolerability of convalescent plasma|Radiographic improvement,Henry Ford Health System,All,"18 Years and older   (Adult, Older Adult)",Phase 2,30,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,13807,4-May-20,1-Aug-20,1-Aug-20,12-May-20,,12-May-20,"Henry Ford Hospital, Detroit, Michigan, United States",,https://ClinicalTrials.gov/show/NCT04385199
NCT04333953,COVID-19 in Patients With HIV,,Recruiting,No Results Available,HIV/AIDS|COVID-19|SARS-CoV-2,Other: No intervention,Mortality|Frequency of patients requiring hospital admissions|Frequency of patients requiring ICU admissions|Frequency of respiratory support use|Frequency of kidney injury|Frequency of liver injury,University of Missouri-Columbia,All,"Child, Adult, Older Adult",,500,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,262095,1-Apr-20,1-Oct-20,1-Oct-20,3-Apr-20,,7-Apr-20,"University of Missouri-Columbia, Columbia, Missouri, United States",,https://ClinicalTrials.gov/show/NCT04333953
NCT04349202,Beaumont Health Large-scale Automated Serologic Testing for COVID-19,BLAST COVID-19,Recruiting,No Results Available,COVID-19|Coronavirus Infection|Severe Acute Respiratory Syndrome Coronavirus 2,Diagnostic Test: EUROIMMUN assay,Prevalence COVID antibodies in employees of Beaumont Health|COVID-19 re-infection in participants positive for antibodies to SARS-CoV-2|Correlation of dried blood spot and standard blood sampling positive for COVID-19 IgG antibodies|Correlation of dried blood spot and standard blood sampling negative for COVID-19 IgG antibodies|Correlation of dried blood spot and standard blood sampling positive for COVID-19 IgA antibodies|Correlation of dried blood spot and standard blood sampling negative for COVID-19 IgA antibodies|Reproducibility of SARS-CoV-2 IgG antibody detection from dried blood spots|Stability of dried blood spots for SARS-CoV-2 IgG antibody detection|Effect of shipping on dried blood spot samples for SARS-CoV-2 IgG antibody detection|Accuracy of participant-performed blood spot collection for SARS-CoV-2 IgG antibody detection|Ease of participant-performed blood spot collection|Correlation of SARS-CoV-2 antibodies between immediate family members,William Beaumont Hospitals,All,"18 Years and older   (Adult, Older Adult)",,56000,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2020-134,10-Apr-20,Jun-21,Jun-21,16-Apr-20,,25-Aug-20,"Beaumont Health System, Royal Oak, Michigan, United States|Beaumont Health, Royal Oak, Michigan, United States",,https://ClinicalTrials.gov/show/NCT04349202
NCT04319731,A Pilot Study of Human Amniotic Fluid for COVID19 Associated Respiratory Failure,,Recruiting,No Results Available,SARS CoV-2 Infection,Biological: Human Amniotic Fluid,Ventilator Free Days|Duration of supplemental oxygen use|All cause mortality|Systemic inflammation,University of Utah,All,"18 Years and older   (Adult, Older Adult)",Early Phase 1,10,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,131618,20-Mar-20,20-Mar-21,20-Mar-21,24-Mar-20,,17-Apr-20,"University of Utah Health, Salt Lake City, Utah, United States",,https://ClinicalTrials.gov/show/NCT04319731
NCT04448145,Determinants of SARS-COV2 (COVID-19) Persistence After Convalescence,,Recruiting,No Results Available,COVID-19|Corona Virus Infection|SARS-CoV 2,,Duration of SARS-CoV-2 viral persistence in naso/oropharyngeal samples|Duration of SARS-CoV-2 viral persistence in stool or rectal swab samples|Duration of SARS-CoV-2 viral persistence in semen samples|Duration of SARS-CoV-2 viral persistence in breast milk samples|Prevalence of cell immune responses|Duration of COVID-19 Symptoms|Prevalence of post-viral sequelae|Prevalence of SARS-CoV-2 persistence and bacterial/viral community structures,Columbia University,All,"7 Years and older   (Child, Adult, Older Adult)",,250,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,AAAS9722,26-Mar-20,1-Mar-21,1-Mar-21,25-Jun-20,,25-Jun-20,"Columbia University Medical Center, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT04448145
NCT04492514,Mavrilimumab to Reduce Progression of Acute Respiratory Failure in COVID-19 Pneumonia and Systemic Hyper-inflation,,Recruiting,No Results Available,COVID 19|SARS-CoV 2|Pneumonia,Drug: Mavrilimumab|Drug: Placebo,Primary Outcome Measure:|Secondary Outcome Measures:,"Kristin Hudock|Kiniksa Pharmaceuticals, Ltd.|University of Cincinnati",All,"18 Years and older   (Adult, Older Adult)",Phase 2,60,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",IND 149353,20-May-20,31-May-21,31-May-21,30-Jul-20,,30-Jul-20,"University of Cincinnati, Cincinnati, Ohio, United States",,https://ClinicalTrials.gov/show/NCT04492514
